G0129,Partial hosp prog service
59136,Treat ectopic pregnancy
59140,Treat ectopic pregnancy
59150,Treat ectopic pregnancy
59151,Treat ectopic pregnancy
59160,D & c after delivery
59200,Insert cervical dilator
59300,Episiotomy or vaginal repair
59320,Revision of cervix
59325,Revision of cervix
59350,Repair of uterus
59400,Obstetrical care
59409,Obstetrical care
59410,Obstetrical care
59412,Antepartum manipulation
59414,Deliver placenta
59425,Antepartum care only
59426,Antepartum care only
59430,Care after delivery
59510,Cesarean delivery
59514,Cesarean delivery only
59515,Cesarean delivery
59610,Vbac delivery
59612,Vbac delivery only
59614,Vbac care after delivery
59618,Attempted vbac delivery
59620,Attempted vbac delivery only
59622,Attempted vbac after care
59820,Care of miscarriage
59821,Treatment of miscarriage
59830,Treat uterus infection
59870,Evacuate mole of uterus
59871,Remove cerclage suture
59897,Fetal invas px w/us
59898,Laparo proc ob care/deliver
59899,Maternity care procedure
60000,Drain thyroid/tongue cyst
60200,Remove thyroid lesion
60210,Partial thyroid excision
60212,Partial thyroid excision
60220,Partial removal of thyroid
60225,Partial removal of thyroid
60240,Removal of thyroid
60252,Removal of thyroid
60254,Extensive thyroid surgery
60260,Repeat thyroid surgery
60270,Removal of thyroid
60271,Removal of thyroid
60280,Remove thyroid duct lesion
60281,Remove thyroid duct lesion
60300,Aspir/inj thyroid cyst
60500,Explore parathyroid glands
60502,Re-explore parathyroids
60505,Explore parathyroid glands
60520,Removal of thymus gland
60521,Removal of thymus gland
60522,Removal of thymus gland
60540,Explore adrenal gland
60545,Explore adrenal gland
60600,Remove carotid body lesion
60605,Remove carotid body lesion
60650,Laparoscopy adrenalectomy
60659,Laparo proc endocrine
60699,Endocrine surgery procedure
61000,Remove cranial cavity fluid
61001,Remove cranial cavity fluid
61020,Remove brain cavity fluid
61026,Injection into brain canal
61050,Remove brain canal fluid
61055,Injection into brain canal
61070,Brain canal shunt procedure
61107,Drill skull for implantation
61108,Drill skull for drainage
61140,Pierce skull for biopsy
61150,Pierce skull for drainage
61151,Pierce skull for drainage
61154,Pierce skull & remove clot
61156,Pierce skull for drainage
61210,Pierce skull implant device
61215,Insert brain-fluid device
61250,Pierce skull & explore
61304,Open skull for exploration
61305,Open skull for exploration
61312,Open skull for drainage
61313,Open skull for drainage
61314,Open skull for drainage
61315,Open skull for drainage
61320,Open skull for drainage
61321,Open skull for drainage
61322,Decompressive craniotomy
61323,Decompressive lobectomy
61330,Decompress eye socket
61332,Explore/biopsy eye socket
61333,Explore orbit/remove lesion
61340,Subtemporal decompression
61343,Incise skull (press relief)
61345,Relieve cranial pressure
61450,Incise skull for surgery
61458,Incise skull for brain wound
61460,Incise skull for surgery
61480,Incise skull for surgery
61500,Removal of skull lesion
61501,Remove infected skull bone
61510,Removal of brain lesion
61512,Remove brain lining lesion
61514,Removal of brain abscess
61516,Removal of brain lesion
61518,Removal of brain lesion
61519,Remove brain lining lesion
61520,Removal of brain lesion
61521,Removal of brain lesion
61522,Removal of brain abscess
61524,Removal of brain lesion
61526,Removal of brain lesion
61530,Removal of brain lesion
61531,Implant brain electrodes
61533,Implant brain electrodes
61534,Removal of brain lesion
61535,Remove brain electrodes
61536,Removal of brain lesion
61537,Removal of brain tissue
61538,Removal of brain tissue
61539,Removal of brain tissue
61540,Removal of brain tissue
61541,Incision of brain tissue
61543,Removal of brain tissue
61544,Remove & treat brain lesion
61545,Excision of brain tumor
61546,Removal of pituitary gland
61548,Removal of pituitary gland
61550,Release of skull seams
61552,Release of skull seams
61556,Incise skull/sutures
61557,Incise skull/sutures
61558,Excision of skull/sutures
61559,Excision of skull/sutures
61563,Excision of skull tumor
61564,Excision of skull tumor
61566,Removal of brain tissue
61567,Incision of brain tissue
61570,Remove foreign body brain
61571,Incise skull for brain wound
61575,Skull base/brainstem surgery
61576,Skull base/brainstem surgery
61580,Craniofacial approach skull
61581,Craniofacial approach skull
61582,Craniofacial approach skull
61583,Craniofacial approach skull
61584,Orbitocranial approach/skull
61585,Orbitocranial approach/skull
61586,Resect nasopharynx skull
61590,Infratemporal approach/skull
61591,Infratemporal approach/skull
61592,Orbitocranial approach/skull
61595,Transtemporal approach/skull
61596,Transcochlear approach/skull
61597,Transcondylar approach/skull
61598,Transpetrosal approach/skull
61600,Resect/excise cranial lesion
61601,Resect/excise cranial lesion
61605,Resect/excise cranial lesion
61606,Resect/excise cranial lesion
61607,Resect/excise cranial lesion
61608,Resect/excise cranial lesion
61613,Remove aneurysm sinus
61615,Resect/excise lesion skull
61616,Resect/excise lesion skull
61618,Repair dura
61619,Repair dura
61623,Endovasc tempory vessel occl
61624,Transcath occlusion cns
61626,Transcath occlusion non-cns
61630,Intracranial angioplasty
61635,Intracran angioplsty w/stent
61640,Dilate ic vasospasm init
61645,Perq art m-thrombect &/nfs
61650,Evasc prlng admn rx agnt 1st
61680,Intracranial vessel surgery
61682,Intracranial vessel surgery
61684,Intracranial vessel surgery
61686,Intracranial vessel surgery
61690,Intracranial vessel surgery
61692,Intracranial vessel surgery
61697,Brain aneurysm repr complx
61698,Brain aneurysm repr complx
61700,Brain aneurysm repr simple
61702,Inner skull vessel surgery
61703,Clamp neck artery
61705,Revise circulation to head
61708,Revise circulation to head
61710,Revise circulation to head
61711,Fusion of skull arteries
61720,Incise skull/brain surgery
61735,Incise skull/brain surgery
61751,Brain biopsy w/ct/mr guide
61760,Implant brain electrodes
61770,Incise skull for treatment
61790,Treat trigeminal nerve
61791,Treat trigeminal tract
61796,Srs cranial lesion simple
61798,Srs cranial lesion complex
61850,Implant neuroelectrodes
61860,Implant neuroelectrodes
61863,Implant neuroelectrode
61867,Implant neuroelectrode
61870,Implant neuroelectrodes
61880,Revise/remove neuroelectrode
61885,Insrt/redo neurostim 1 array
61886,Implant neurostim arrays
61888,Revise/remove neuroreceiver
62000,Treat skull fracture
62005,Treat skull fracture
62010,Treatment of head injury
62100,Repair brain fluid leakage
62115,Reduction of skull defect
62117,Reduction of skull defect
62120,Repair skull cavity lesion
62121,Incise skull repair
62140,Repair of skull defect
62141,Repair of skull defect
62142,Remove skull plate/flap
62143,Replace skull plate/flap
62145,Repair of skull & brain
62146,Repair of skull with graft
62147,Repair of skull with graft
62161,Dissect brain w/scope
62162,Remove colloid cyst w/scope
62163,Zneuroendoscopy w/fb removal
62164,Remove brain tumor w/scope
62165,Remove pituit tumor w/scope
62180,Establish brain cavity shunt
62190,Establish brain cavity shunt
62192,Establish brain cavity shunt
62194,Replace/irrigate catheter
62200,Establish brain cavity shunt
62201,Brain cavity shunt w/scope
62220,Establish brain cavity shunt
62223,Establish brain cavity shunt
62225,Replace/irrigate catheter
62230,Replace/revise brain shunt
62252,Csf shunt reprogram
62256,Remove brain cavity shunt
62258,Replace brain cavity shunt
62263,Epidural lysis mult sessions
62264,Epidural lysis on single day
62268,Drain spinal cord cyst
62272,Drain cerebro spinal fluid
62273,Inject epidural patch
62280,Treat spinal cord lesion
62281,Treat spinal cord lesion
62282,Treat spinal canal lesion
62287,Percutaneous diskectomy
62292,Njx chemonucleolysis lmbr
62294,Injection into spinal artery
62320,Njx interlaminar crv/thrc
62321,Njx interlaminar crv/thrc
62322,Njx interlaminar lmbr/sac
62323,Njx interlaminar lmbr/sac
62324,Njx interlaminar crv/thrc
62325,Njx interlaminar crv/thrc
62326,Njx interlaminar lmbr/sac
62327,Njx interlaminar lmbr/sac
62350,Implant spinal canal cath
62351,Implant spinal canal cath
62355,Remove spinal canal catheter
62360,Insert spine infusion device
62361,Implant spine infusion pump
62362,Implant spine infusion pump
62365,Remove spine infusion device
62367,Analyze spine infus pump
62368,Analyze sp inf pump w/reprog
62369,Anal sp inf pmp w/reprg&fill
62370,Anl sp inf pmp w/mdreprg&fil
62380,Ndsc dcmprn 1 ntrspc lumbar
63001,Remove spine lamina 1/2 crvl
63003,Remove spine lamina 1/2 thrc
63005,Remove spine lamina 1/2 lmbr
63011,Remove spine lamina 1/2 scrl
63012,Remove lamina/facets lumbar
63015,Remove spine lamina >2 crvcl
63016,Remove spine lamina >2 thrc
63017,Remove spine lamina >2 lmbr
63020,Neck spine disk surgery
63030,Low back disk surgery
63040,Laminotomy single cervical
63042,Laminotomy single lumbar
63045,Remove spine lamina 1 crvl
63046,Remove spine lamina 1 thrc
63047,Remove spine lamina 1 lmbr
63050,Cervical laminoplsty 2/> seg
63051,C-laminoplasty w/graft/plate
63055,Decompress spinal cord thrc
63056,Decompress spinal cord lmbr
63064,Decompress spinal cord thrc
63075,Neck spine disk surgery
63077,Spine disk surgery thorax
63081,Remove vert body dcmprn crvl
63085,Remove vert body dcmprn thrc
63087,Remov vertbr dcmprn thrclmbr
63090,Remove vert body dcmprn lmbr
63101,Remove vert body dcmprn thrc
63102,Remove vert body dcmprn lmbr
63170,Incise spinal cord tract(s)
63172,Drainage of spinal cyst
63173,Drainage of spinal cyst
63180,Revise spinal cord ligaments
63182,Revise spinal cord ligaments
63185,Incise spine nrv half segmnt
63190,Incise spine nrv >2 segmnts
63191,Incise spine accessory nerve
63194,Incise spine & cord cervical
63195,Incise spine & cord thoracic
63196,Incise spine&cord 2 trx crvl
63197,Incise spine&cord 2 trx thrc
63198,Incise spin&cord 2 stgs crvl
63199,Incise spin&cord 2 stgs thrc
63200,Release spinal cord lumbar
63250,Revise spinal cord vsls crvl
63251,Revise spinal cord vsls thrc
63252,Revise spine cord vsl thrlmb
63265,Excise intraspinl lesion crv
63266,Excise intrspinl lesion thrc
63267,Excise intrspinl lesion lmbr
63268,Excise intrspinl lesion scrl
63270,Excise intrspinl lesion crvl
63271,Excise intrspinl lesion thrc
63272,Excise intrspinl lesion lmbr
63273,Excise intrspinl lesion scrl
63275,Bx/exc xdrl spine lesn crvl
63276,Bx/exc xdrl spine lesn thrc
63277,Bx/exc xdrl spine lesn lmbr
63278,Bx/exc xdrl spine lesn scrl
63280,Bx/exc idrl spine lesn crvl
63281,Bx/exc idrl spine lesn thrc
63282,Bx/exc idrl spine lesn lmbr
63283,Bx/exc idrl spine lesn scrl
63285,Bx/exc idrl imed lesn cervl
63286,Bx/exc idrl imed lesn thrc
63287,Bx/exc idrl imed lesn thrlmb
63290,Bx/exc xdrl/idrl lsn any lvl
63300,Remove vert xdrl body crvcl
63301,Remove vert xdrl body thrc
63302,Remove vert xdrl body thrlmb
63303,Remov vert xdrl bdy lmbr/sac
63304,Remove vert idrl body crvcl
63305,Remove vert idrl body thrc
63306,Remov vert idrl bdy thrclmbr
63307,Remov vert idrl bdy lmbr/sac
63600,Remove spinal cord lesion
63610,Stimulation of spinal cord
63615,Remove lesion of spinal cord
63620,Srs spinal lesion
63650,Implant neuroelectrodes
63655,Implant neuroelectrodes
63661,Remove spine eltrd perq aray
63662,Remove spine eltrd plate
63663,Revise spine eltrd perq aray
63664,Revise spine eltrd plate
63685,Insrt/redo spine n generator
63688,Revise/remove neuroreceiver
63700,Repair of spinal herniation
63702,Repair of spinal herniation
63704,Repair of spinal herniation
63706,Repair of spinal herniation
63707,Repair spinal fluid leakage
63709,Repair spinal fluid leakage
63710,Graft repair of spine defect
63740,Install spinal shunt
63741,Install spinal shunt
63744,Revision of spinal shunt
63746,Removal of spinal shunt
64400,N block inj trigeminal
64402,N block inj facial
64405,N block inj occipital
64408,N block inj vagus
64410,N block inj phrenic
64413,N block inj cervical plexus
64415,N block inj brachial plexus
64416,N block cont infuse b plex
64417,N block inj axillary
64418,N block inj suprascapular
64420,N block inj intercost sng
64421,N block inj intercost mlt
64425,N block inj ilio-ing/hypogi
64430,N block inj pudendal
64435,N block inj paracervical
64445,N block inj sciatic sng
64446,N blk inj sciatic cont inf
64447,N block inj fem single
64448,N block inj fem cont inf
64449,N block inj lumbar plexus
64450,N block other peripheral
64455,N block inj plantar digit
64479,Inj foramen epidural c/t
64483,Inj foramen epidural l/s
64486,Tap block unil by injection
64487,Tap block uni by infusion
64488,Tap block bi injection
64489,Tap block bi by infusion
64490,Inj paravert f jnt c/t 1 lev
64493,Inj paravert f jnt l/s 1 lev
64505,N block spenopalatine gangl
64508,N block carotid sinus s/p
64510,N block stellate ganglion
64517,N block inj hypogas plxs
64520,N block lumbar/thoracic
64530,N block inj celiac pelus
64550,Appl surface neurostimulator
64553,Implant neuroelectrodes
64555,Implant neuroelectrodes
64561,Implant neuroelectrodes
64566,Neuroeltrd stim post tibial
64568,Inc for vagus n elect impl
64569,Revise/repl vagus n eltrd
64570,Remove vagus n eltrd
64575,Implant neuroelectrodes
64580,Implant neuroelectrodes
64581,Implant neuroelectrodes
64585,Revise/remove neuroelectrode
64590,Insrt/redo pn/gastr stimul
64595,Revise/rmv pn/gastr stimul
64600,Injection treatment of nerve
64605,Injection treatment of nerve
64610,Injection treatment of nerve
64611,Chemodenerv saliv glands
64612,Destroy nerve face muscle
64615,Chemodenerv musc migraine
64616,Chemodenerv musc neck dyston
64617,Chemodener muscle larynx emg
64620,Injection treatment of nerve
64630,Injection treatment of nerve
64632,N block inj common digit
64633,Destroy cerv/thor facet jnt
64635,Destroy lumb/sac facet jnt
64640,Injection treatment of nerve
64642,Chemodenerv 1 extremity 1-4
64644,Chemodenerv 1 extrem 5/> mus
64646,Chemodenerv trunk musc 1-5
64647,Chemodenerv trunk musc 6/>
64650,Chemodenerv eccrine glands
64653,Chemodenerv eccrine glands
64680,Injection treatment of nerve
64681,Injection treatment of nerve
64702,Revise finger/toe nerve
64704,Revise hand/foot nerve
64708,Revise arm/leg nerve
64712,Revision of sciatic nerve
64713,Revision of arm nerve(s)
64714,Revise low back nerve(s)
64716,Revision of cranial nerve
64718,Revise ulnar nerve at elbow
64719,Revise ulnar nerve at wrist
64721,Carpal tunnel surgery
64722,Relieve pressure on nerve(s)
64726,Release foot/toe nerve
64732,Incision of brow nerve
64734,Incision of cheek nerve
64736,Incision of chin nerve
64738,Incision of jaw nerve
64740,Incision of tongue nerve
64742,Incision of facial nerve
64744,Incise nerve back of head
64746,Incise diaphragm nerve
64755,Incision of stomach nerves
64760,Incision of vagus nerve
64763,Incise hip/thigh nerve
64766,Incise hip/thigh nerve
64771,Sever cranial nerve
64772,Incision of spinal nerve
64774,Remove skin nerve lesion
64776,Remove digit nerve lesion
64782,Remove limb nerve lesion
64784,Remove nerve lesion
64786,Remove sciatic nerve lesion
64788,Remove skin nerve lesion
64790,Removal of nerve lesion
64792,Removal of nerve lesion
64802,Sympathectomy cervical
64804,Remove sympathetic nerves
64809,Remove sympathetic nerves
64818,Remove sympathetic nerves
64820,Sympathectomy digital artery
64821,Remove sympathetic nerves
64822,Remove sympathetic nerves
64823,Sympathectomy supfc palmar
64831,Repair of digit nerve
64834,Repair of hand or foot nerve
64835,Repair of hand or foot nerve
64836,Repair of hand or foot nerve
64840,Repair of leg nerve
64856,Repair/transpose nerve
64857,Repair arm/leg nerve
64858,Repair sciatic nerve
64861,Repair of arm nerves
64862,Repair of low back nerves
64864,Repair of facial nerve
64865,Repair of facial nerve
64866,Fusion of facial/other nerve
64868,Fusion of facial/other nerve
64885,Nerve graft head/neck </4 cm
64886,Nerve graft head/neck >4 cm
64890,Nerve graft hand/foot </4 cm
64891,Nerve graft hand/foot >4 cm
64892,Nerve graft arm/leg <4 cm
64893,Nerve graft arm/leg >4 cm
64895,Nerve graft hand/foot </4 cm
64896,Nerve graft hand/foot >4 cm
64897,Nerve graft arm/leg </4 cm
64898,Nerve graft arm/leg >4 cm
64905,Nerve pedicle transfer
64907,Nerve pedicle transfer
64910,Nerve repair w/allograft
64911,Neurorraphy w/vein autograft
64912,Nrv rpr w/nrv algrft 1st
64999,Nervous system surgery
65091,Revise eye
65093,Revise eye with implant
65101,Removal of eye
65103,Remove eye/insert implant
65105,Remove eye/attach implant
65110,Removal of eye
65112,Remove eye/revise socket
65114,Remove eye/revise socket
65125,Revise ocular implant
65130,Insert ocular implant
65135,Insert ocular implant
65140,Attach ocular implant
65150,Revise ocular implant
65155,Reinsert ocular implant
65175,Removal of ocular implant
65205,Remove foreign body from eye
65210,Remove foreign body from eye
65220,Remove foreign body from eye
65222,Remove foreign body from eye
65235,Remove foreign body from eye
65260,Remove foreign body from eye
65265,Remove foreign body from eye
65270,Repair of eye wound
65272,Repair of eye wound
65273,Repair of eye wound
65275,Repair of eye wound
65280,Repair of eye wound
65285,Repair of eye wound
65286,Repair of eye wound
65290,Repair of eye socket wound
65400,Removal of eye lesion
65420,Removal of eye lesion
65426,Removal of eye lesion
65430,Corneal smear
65435,Curette/treat cornea
65436,Curette/treat cornea
65450,Treatment of corneal lesion
65600,Revision of cornea
65710,Corneal transplant
65730,Corneal transplant
65750,Corneal transplant
65755,Corneal transplant
65756,Corneal trnspl endothelial
65760,Revision of cornea
65765,Revision of cornea
65767,Corneal tissue transplant
65770,Revise cornea with implant
65771,Radial keratotomy
65772,Correction of astigmatism
65775,Correction of astigmatism
65778,Cover eye w/membrane
65779,Cover eye w/membrane suture
65780,Ocular reconst transplant
65781,Ocular reconst transplant
65782,Ocular reconst transplant
65785,Impltj ntrstrml crnl rng seg
65800,Drainage of eye
65810,Drainage of eye
65815,Drainage of eye
65820,Relieve inner eye pressure
65850,Incision of eye
65855,Trabeculoplasty laser surg
65860,Incise inner eye adhesions
65865,Incise inner eye adhesions
65870,Incise inner eye adhesions
65875,Incise inner eye adhesions
65880,Incise inner eye adhesions
65900,Remove eye lesion
65920,Remove implant of eye
65930,Remove blood clot from eye
66020,Injection treatment of eye
66030,Injection treatment of eye
66130,Remove eye lesion
66150,Glaucoma surgery
66155,Glaucoma surgery
66160,Glaucoma surgery
66170,Glaucoma surgery
66172,Incision of eye
66174,Translum dil eye canal
66175,Trnslum dil eye canal w/stnt
66179,Aqueous shunt eye w/o graft
66180,Aqueous shunt eye w/graft
66183,Insert ant drainage device
66184,Revision of aqueous shunt
66185,Revise aqueous shunt eye
66220,Repair eye lesion
66225,Repair/graft eye lesion
66250,Follow-up surgery of eye
66500,Incision of iris
66505,Incision of iris
66600,Remove iris and lesion
66605,Removal of iris
66625,Removal of iris
66630,Removal of iris
66635,Removal of iris
66680,Repair iris & ciliary body
66682,Repair iris & ciliary body
66700,Destruction ciliary body
66710,Ciliary transsleral therapy
66711,Ciliary endoscopic ablation
66720,Destruction ciliary body
66740,Destruction ciliary body
66761,Revision of iris
66762,Revision of iris
66770,Removal of inner eye lesion
66820,Incision secondary cataract
66821,After cataract laser surgery
66825,Reposition intraocular lens
66830,Removal of lens lesion
66840,Removal of lens material
66850,Removal of lens material
66852,Removal of lens material
66920,Extraction of lens
66930,Extraction of lens
66940,Extraction of lens
66982,Cataract surgery complex
66983,Cataract surg w/iol 1 stage
66984,Cataract surg w/iol 1 stage
66985,Insert lens prosthesis
66986,Exchange lens prosthesis
66999,Eye surgery procedure
67005,Partial removal of eye fluid
67010,Partial removal of eye fluid
67015,Release of eye fluid
67025,Replace eye fluid
67027,Implant eye drug system
67028,Injection eye drug
67030,Incise inner eye strands
67031,Laser surgery eye strands
67036,Removal of inner eye fluid
67039,Laser treatment of retina
67040,Laser treatment of retina
67041,Vit for macular pucker
67042,Vit for macular hole
67043,Vit for membrane dissect
67101,Repair detached retina crtx
67105,Repair detached retina pc
67107,Repair detached retina
67108,Repair detached retina
67110,Repair detached retina
67113,Repair retinal detach cplx
67115,Release encircling material
67120,Remove eye implant material
67121,Remove eye implant material
67141,Treatment of retina
67145,Treatment of retina
67208,Treatment of retinal lesion
67210,Treatment of retinal lesion
67218,Treatment of retinal lesion
67220,Treatment of choroid lesion
67221,Ocular photodynamic ther
67227,Dstrj extensive retinopathy
67228,Treatment x10sv retinopathy
67229,Tr retinal les preterm inf
67250,Reinforce eye wall
67255,Reinforce/graft eye wall
67299,Eye surgery procedure
67311,Revise eye muscle
67312,Revise two eye muscles
67314,Revise eye muscle
67316,Revise two eye muscles
67318,Revise eye muscle(s)
67343,Release eye tissue
67345,Destroy nerve of eye muscle
67399,Unlisted px extraocular musc
67400,Explore/biopsy eye socket
67405,Explore/drain eye socket
67412,Explore/treat eye socket
67413,Explore/treat eye socket
67414,Explr/decompress eye socket
67415,Aspiration orbital contents
67420,Explore/treat eye socket
67430,Explore/treat eye socket
67440,Explore/drain eye socket
67445,Explr/decompress eye socket
67450,Explore/biopsy eye socket
67500,Inject/treat eye socket
67505,Inject/treat eye socket
67515,Inject/treat eye socket
67550,Insert eye socket implant
67560,Revise eye socket implant
67570,Decompress optic nerve
67599,Orbit surgery procedure
67700,Drainage of eyelid abscess
67710,Incision of eyelid
67715,Incision of eyelid fold
67800,Remove eyelid lesion
67801,Remove eyelid lesions
67805,Remove eyelid lesions
67808,Remove eyelid lesion(s)
67820,Revise eyelashes
67825,Revise eyelashes
67830,Revise eyelashes
67835,Revise eyelashes
67840,Remove eyelid lesion
67850,Treat eyelid lesion
67875,Closure of eyelid by suture
67880,Revision of eyelid
67882,Revision of eyelid
67900,Repair brow defect
67901,Repair eyelid defect
67902,Repair eyelid defect
67903,Repair eyelid defect
67904,Repair eyelid defect
67906,Repair eyelid defect
67908,Repair eyelid defect
67909,Revise eyelid defect
67911,Revise eyelid defect
67912,Correction eyelid w/implant
67914,Repair eyelid defect
67915,Repair eyelid defect
67916,Repair eyelid defect
67917,Repair eyelid defect
67921,Repair eyelid defect
67922,Repair eyelid defect
67923,Repair eyelid defect
67924,Repair eyelid defect
67930,Repair eyelid wound
67935,Repair eyelid wound
67938,Remove eyelid foreign body
67950,Revision of eyelid
67961,Revision of eyelid
67966,Revision of eyelid
67971,Reconstruction of eyelid
67973,Reconstruction of eyelid
67974,Reconstruction of eyelid
67975,Reconstruction of eyelid
67999,Revision of eyelid
68020,Incise/drain eyelid lining
68040,Treatment of eyelid lesions
68110,Remove eyelid lining lesion
68115,Remove eyelid lining lesion
68130,Remove eyelid lining lesion
68135,Remove eyelid lining lesion
68200,Treat eyelid by injection
68320,Revise/graft eyelid lining
68325,Revise/graft eyelid lining
68326,Revise/graft eyelid lining
68328,Revise/graft eyelid lining
68330,Revise eyelid lining
68335,Revise/graft eyelid lining
68340,Separate eyelid adhesions
68360,Revise eyelid lining
68362,Revise eyelid lining
68371,Harvest eye tissue alograft
68399,Eyelid lining surgery
68400,Incise/drain tear gland
68420,Incise/drain tear sac
68440,Incise tear duct opening
68500,Removal of tear gland
68505,Partial removal tear gland
68520,Removal of tear sac
68530,Clearance of tear duct
68540,Remove tear gland lesion
68550,Remove tear gland lesion
68700,Repair tear ducts
68705,Revise tear duct opening
68720,Create tear sac drain
68745,Create tear duct drain
68750,Create tear duct drain
68760,Close tear duct opening
68761,Close tear duct opening
68770,Close tear system fistula
68801,Dilate tear duct opening
68810,Probe nasolacrimal duct
68811,Probe nasolacrimal duct
68815,Probe nasolacrimal duct
68816,Probe nl duct w/balloon
68840,Explore/irrigate tear ducts
68899,Tear duct system surgery
69000,Drain external ear lesion
69005,Drain external ear lesion
69020,Drain outer ear canal lesion
69090,Pierce earlobes
69110,Remove external ear partial
69120,Removal of external ear
69140,Remove ear canal lesion(s)
69145,Remove ear canal lesion(s)
69150,Extensive ear canal surgery
69155,Extensive ear/neck surgery
69200,Clear outer ear canal
69205,Clear outer ear canal
69209,Remove impacted ear wax uni
69210,Remove impacted ear wax uni
69220,Clean out mastoid cavity
69222,Clean out mastoid cavity
69300,Revise external ear
69310,Rebuild outer ear canal
69320,Rebuild outer ear canal
69399,Outer ear surgery procedure
69420,Incision of eardrum
69421,Incision of eardrum
69424,Remove ventilating tube
69433,Create eardrum opening
69436,Create eardrum opening
69440,Exploration of middle ear
69450,Eardrum revision
69501,Mastoidectomy
69502,Mastoidectomy
69505,Remove mastoid structures
69511,Extensive mastoid surgery
69530,Extensive mastoid surgery
69535,Remove part of temporal bone
69540,Remove ear lesion
69550,Remove ear lesion
69552,Remove ear lesion
69554,Remove ear lesion
69601,Mastoid surgery revision
69602,Mastoid surgery revision
69603,Mastoid surgery revision
69604,Mastoid surgery revision
69605,Mastoid surgery revision
69610,Repair of eardrum
69620,Repair of eardrum
69631,Repair eardrum structures
69632,Rebuild eardrum structures
69633,Rebuild eardrum structures
69635,Repair eardrum structures
69636,Rebuild eardrum structures
69637,Rebuild eardrum structures
69641,Revise middle ear & mastoid
69642,Revise middle ear & mastoid
69643,Revise middle ear & mastoid
69644,Revise middle ear & mastoid
69645,Revise middle ear & mastoid
69646,Revise middle ear & mastoid
69650,Release middle ear bone
69660,Revise middle ear bone
69661,Revise middle ear bone
69662,Revise middle ear bone
69666,Repair middle ear structures
69667,Repair middle ear structures
69670,Remove mastoid air cells
69676,Remove middle ear nerve
69700,Close mastoid fistula
69710,Implant/replace hearing aid
69711,Remove/repair hearing aid
69714,Implant temple bone w/stimul
69715,Temple bne implnt w/stimulat
69717,Temple bone implant revision
69718,Revise temple bone implant
69720,Release facial nerve
69725,Release facial nerve
69740,Repair facial nerve
69745,Repair facial nerve
69799,Middle ear surgery procedure
69801,Incise inner ear
69805,Explore inner ear
69806,Explore inner ear
69905,Remove inner ear
69910,Remove inner ear & mastoid
69915,Incise inner ear nerve
69930,Implant cochlear device
69949,Inner ear surgery procedure
69950,Incise inner ear nerve
69955,Release facial nerve
69960,Release inner ear canal
69970,Remove inner ear lesion
69979,Temporal bone surgery
77261,Radiation therapy planning
77262,Radiation therapy planning
77263,Radiation therapy planning
77280,Set radiation therapy field
77285,Set radiation therapy field
77290,Set radiation therapy field
77295,3-d radiotherapy plan
77299,Radiation therapy planning
77300,Radiation therapy dose plan
77301,Radiotherapy dose plan imrt
77306,Telethx isodose plan simple
77307,Telethx isodose plan cplx
77316,Brachytx isodose plan simple
77317,Brachytx isodose intermed
77318,Brachytx isodose complex
77321,Special teletx port plan
77331,Special radiation dosimetry
77371,Srs multisource
77372,Srs linear based
77373,Sbrt delivery
77385,Ntsty modul rad tx dlvr smpl
77386,Ntsty modul rad tx dlvr cplx
77399,External radiation dosimetry
77401,Radiation treatment delivery
77402,Radiation treatment delivery
77407,Radiation treatment delivery
77412,Radiation treatment delivery
77417,Radiology port images(s)
77423,Neutron beam tx complex
77424,Io rad tx delivery by x-ray
77425,Io rad tx deliver by elctrns
77427,Radiation tx management x5
77431,Radiation therapy management
77432,Stereotactic radiation trmt
77435,Sbrt management
77469,Io radiation tx management
77470,Special radiation treatment
77499,Radiation therapy management
77520,Proton trmt simple w/o comp
77522,Proton trmt simple w/comp
77523,Proton trmt intermediate
77525,Proton treatment complex
77600,Hyperthermia treatment
77605,Hyperthermia treatment
77610,Hyperthermia treatment
77615,Hyperthermia treatment
77620,Hyperthermia treatment
77750,Infuse radioactive materials
77761,Apply intrcav radiat simple
77762,Apply intrcav radiat interm
77763,Apply intrcav radiat compl
77767,Hdr rdncl skn surf brachytx
77768,Hdr rdncl skn surf brachytx
77770,Hdr rdncl ntrstl/icav brchtx
77771,Hdr rdncl ntrstl/icav brchtx
77772,Hdr rdncl ntrstl/icav brchtx
77778,Apply interstit radiat compl
77789,Apply surf ldr radionuclide
77790,Radiation handling
77799,Radium/radioisotope therapy
79005,Nuclear rx oral admin
79101,Nuclear rx iv admin
79200,Nuclear rx intracav admin
79300,Nuclr rx interstit colloid
79403,Hematopoietic nuclear tx
79440,Nuclear rx intra-articular
79445,Nuclear rx intra-arterial
79999,Nuclear medicine therapy
90791,Psych diagnostic evaluation
90792,Psych diag eval w/med srvcs
90832,Psytx w pt 30 minutes
90834,Psytx w pt 45 minutes
90837,Psytx w pt 60 minutes
90839,Psytx crisis initial 60 min
90845,Psychoanalysis
90846,Family psytx w/o pt 50 min
90847,Family psytx w/pt 50 min
90849,Multiple family group psytx
90853,Group psychotherapy
90865,Narcosynthesis
90867,Tcranial magn stim tx plan
90868,Tcranial magn stim tx deli
90869,Tcran magn stim redetemine
90870,Electroconvulsive therapy
90875,Psychophysiological therapy
90876,Psychophysiological therapy
90880,Hypnotherapy
